Utilizador:u061,Jason Antas,-9.005793,39.99991
Utilizador:u870,Aayan Pontes,-8.247749,38.74834
Utilizador:u065,Victor Simas,-7.7461023,40.856556
Utilizador:u696,Fernando Barros,-8.827781,37.016926
Utilizador:u476,Jefferson Junqueira,-7.8035326,38.2601
Utilizador:u329,Isaque Maranhão,-6.9632015,39.584736
Utilizador:u763,Noah Bastos,-6.801008,41.86389
Utilizador:u788,Lúcio Mascarenhas,-8.039372,41.582947
Utilizador:u062,Oscar Negromonte,-7.377007,40.451004
Utilizador:u168,Baltazar Sabala,-9.198923,39.09034
Utilizador:u459,Emerson Lemos,-6.544936,39.8601
Utilizador:u449,Aarnav Vilaça,-8.696477,39.15149
Utilizador:u133,Ayan Valério,-6.324505,38.445515
Utilizador:u820,Bento Faro,-8.918695,39.15349
Utilizador:u024,Lenny Vilanova,-9.112177,38.008083
Utilizador:u876,Marcus Botica,-7.366167,37.80969
Utilizador:u157,Oleksandr Couceiro,-9.173177,39.947483
Utilizador:u494,Dénis Junqueira,-8.979929,41.708508
Utilizador:u105,Logan Bulhões,-6.5224686,40.644478
Utilizador:u639,Denzel Redondo,-9.095014,40.610897
Utilizador:u848,Lyan Mourato,-8.8911915,39.739624
Utilizador:u503,Rayan Miguéis,-7.049,37.938236
Utilizador:u794,Gelson Leão,-9.28817,39.363525
Utilizador:u588,Vagner da Costa,-7.2118683,39.48377
Utilizador:u203,Valentin Pinto,-8.552517,38.18541
Utilizador:u101,Adrián Norões,-8.60903,40.9602
Utilizador:u554,Anilson Macieira,-8.446635,41.443512
Utilizador:u202,Charlie Godoi,-9.309701,41.317356
Utilizador:u436,Zayn Ribas,-6.779787,41.453705
Utilizador:u504,Hao Aveiro,-7.981722,40.619766
Utilizador:u297,Matheo Camilo,-7.897794,38.344086
Utilizador:u000,José Sales,-8.825277,41.04666
Utilizador:u923,Emmanuel Bentes,-8.62494,40.244686
Utilizador:u003,Kennedy Quadros,-8.7898,39.234837
Utilizador:u206,Dilan Cesário,-7.546427,41.0133
Utilizador:u166,Gilberto Parreira,-8.962229,40.228962
Utilizador:u123,Kennedy Antunes,-7.0275154,37.43438
Utilizador:u484,Saulo Vilar,-7.5116987,39.501713
Utilizador:u961,Cristóvão Rolim,-6.641331,39.099075
Utilizador:u340,Daniel Prates,-9.065755,38.072605
Utilizador:u144,Aleksandr Graça,-8.961475,39.453293
Utilizador:u887,Jaden Ouro,-6.4002743,39.919765
Utilizador:u298,Aidan Ulhoa,-8.182522,37.782463
Utilizador:u970,Lukas Mena,-6.6772947,39.537457
Utilizador:u586,Andriy Quintana,-8.820946,39.417454
Utilizador:u832,Benício Ourique,-6.5285425,41.43507
Utilizador:u788,Dénis Fiães,-8.126954,40.454144
Utilizador:u122,Matias Valcanaia,-8.099169,39.984787
Utilizador:u256,Sidney Mota,-8.460151,40.416958
Utilizador:u736,Zion Dâmaso,-8.19001,40.880436
Utilizador:u910,Logan Botica,-8.979811,38.64233
Utilizador:u354,Milton Carvalho,-9.185748,38.38441
Utilizador:u530,Yeshua Barateiro,-6.5232377,38.182205
Utilizador:u026,Rodney Milheiro,-6.5887213,37.5588
Utilizador:u390,Kaio Calheiros,-7.90116,37.87204
Utilizador:u224,Arham Quina,-7.4377136,38.029453
Utilizador:u110,Azael Madruga,-6.9676886,38.6211
Utilizador:u001,Ezequiel Domingos,-8.709292,37.217422
Utilizador:u451,Fabian Raminhos,-7.2018757,41.553547
Utilizador:u446,Derek Lacerda,-7.397263,40.425537
Utilizador:u657,Miguel Martins,-6.9467998,40.830414
Utilizador:u187,Nataniel Pêcego,-8.171716,40.612473
Utilizador:u334,Jerson Carlos,-7.7342815,40.070473
Utilizador:u707,Jessé Marroquim,-7.7270126,39.104633
